name,date,value,z_score
SSR RSI Smoothed,2015-05-24,61.6413164988223,-0.6806556228418108
SSR RSI Smoothed,2015-05-25,59.809312721953745,-0.5136253483183436
SSR RSI Smoothed,2015-05-26,58.26896395401219,-0.3731862941964469
SSR RSI Smoothed,2015-05-27,57.00359780962993,-0.25781838003737284
SSR RSI Smoothed,2015-05-28,55.9697002541806,-0.16355427714833512
SSR RSI Smoothed,2015-05-29,55.142490381032694,-0.08813462248114326
SSR RSI Smoothed,2015-05-30,54.4021810775113,-0.020638000606914845
SSR RSI Smoothed,2015-05-31,53.77590528528806,0.03646178205906554
SSR RSI Smoothed,2015-06-01,53.173059009233874,0.09142541273284965
SSR RSI Smoothed,2015-06-02,52.836257027340224,0.12213284260065425
SSR RSI Smoothed,2015-06-03,52.66363562971499,0.1378713469629389
SSR RSI Smoothed,2015-06-04,52.60065066571931,0.14361390926542056
SSR RSI Smoothed,2015-06-05,52.71893304034814,0.1328296861349902
SSR RSI Smoothed,2015-06-06,52.97311076846746,0.10965540219432625
SSR RSI Smoothed,2015-06-07,53.29691219721208,0.08013327881379899
SSR RSI Smoothed,2015-06-08,53.83958409634142,0.030655959262263843
SSR RSI Smoothed,2015-06-09,54.463263711466205,-0.026207120740249615
SSR RSI Smoothed,2015-06-10,55.13395399073144,-0.08735632953575709
SSR RSI Smoothed,2015-06-11,55.88216472469535,-0.1555733528155969
SSR RSI Smoothed,2015-06-12,56.68622702389651,-0.22888256116182817
SSR RSI Smoothed,2015-06-13,57.57778554934974,-0.3101691104257909
SSR RSI Smoothed,2015-06-14,58.49076743141641,-0.39340890300810105
SSR RSI Smoothed,2015-06-15,59.472372114715434,-0.48290527948676226
SSR RSI Smoothed,2015-06-16,60.57598658098512,-0.5835257201193594
SSR RSI Smoothed,2015-06-17,61.645820481722744,-0.6810662669189733
SSR RSI Smoothed,2015-06-18,62.71259334743602,-0.7783277283111781
SSR RSI Smoothed,2015-06-19,63.745090357567456,-0.8724641385219126
SSR RSI Smoothed,2015-06-20,64.77372694739257,-0.9662485805371216
SSR RSI Smoothed,2015-06-21,65.78509778287265,-1.0584588425618089
SSR RSI Smoothed,2015-06-22,66.79486816558222,-1.1505231856375306
SSR RSI Smoothed,2015-06-23,67.77900181876323,-1.240250137259641
SSR RSI Smoothed,2015-06-24,68.7356029286509,-1.3274668493709587
SSR RSI Smoothed,2015-06-25,69.68441276669088,-1.4139732036260104
SSR RSI Smoothed,2015-06-26,70.61719464273686,-1.499018231804276
SSR RSI Smoothed,2015-06-27,71.54713924263754,-1.5838045754648389
SSR RSI Smoothed,2015-06-28,72.4486928711119,-1.6660024136805975
SSR RSI Smoothed,2015-06-29,73.33718693269259,-1.7470095649169133
SSR RSI Smoothed,2015-06-30,74.20754662214154,-1.826363341201867
SSR RSI Smoothed,2015-07-01,75.04607047430454,-1.9028145314175688
SSR RSI Smoothed,2015-07-02,75.85716275783051,-1.9767646883396135
SSR RSI Smoothed,2015-07-03,76.6453137228971,-2.048623203984177
SSR RSI Smoothed,2015-07-04,77.41179802151339,-2.1185062928905993
SSR RSI Smoothed,2015-07-05,78.15851675067167,-2.1865872848066275
SSR RSI Smoothed,2015-07-06,78.8793980837982,-2.252312589793052
SSR RSI Smoothed,2015-07-07,79.57546702432795,-2.3157756610442886
SSR RSI Smoothed,2015-07-08,80.24981274622975,-2.3772581494950016
SSR RSI Smoothed,2015-07-09,80.9013743355476,-2.436663327861354
SSR RSI Smoothed,2015-07-10,81.53378887564662,-2.4943228019187322
SSR RSI Smoothed,2015-07-11,82.1454062931949,-2.5500861286357996
SSR RSI Smoothed,2015-07-12,82.73709256461076,-2.604032262150485
SSR RSI Smoothed,2015-07-13,83.30659969739801,-2.655956245023012
SSR RSI Smoothed,2015-07-14,83.8560955008805,-2.7060557241092704
SSR RSI Smoothed,2015-07-15,84.38649689960293,-2.754414298668364
SSR RSI Smoothed,2015-07-16,84.89826050902626,-2.8010735999495053
SSR RSI Smoothed,2015-07-17,85.39245993929958,-2.846131512793436
SSR RSI Smoothed,2015-07-18,85.86952193377667,-2.8896269449035286
SSR RSI Smoothed,2015-07-19,86.33009989002372,-2.931619468850668
SSR RSI Smoothed,2015-07-20,86.7748159159035,-2.9721658044126253
SSR RSI Smoothed,2015-07-21,87.20411479379194,-3.0113065039743314
SSR RSI Smoothed,2015-07-22,87.61850875210936,-3.0490882692155235
SSR RSI Smoothed,2015-07-23,88.01848860592752,-3.0855558494850897
SSR RSI Smoothed,2015-07-24,88.40460643764747,-3.120759580091382
SSR RSI Smoothed,2015-07-25,88.77733471084174,-3.1547425372120887
SSR RSI Smoothed,2015-07-26,89.13700663741174,-3.187535100956722
SSR RSI Smoothed,2015-07-27,89.48414679331626,-3.2191850987738446
SSR RSI Smoothed,2015-07-28,89.81924483470068,-3.249737174348923
SSR RSI Smoothed,2015-07-29,90.0807448127974,-3.2735790537603484
SSR RSI Smoothed,2015-07-30,90.32130276197574,-3.29551157420457
SSR RSI Smoothed,2015-07-31,90.51182219702898,-3.3128819060460204
SSR RSI Smoothed,2015-08-01,90.65835681128716,-3.326241985951844
SSR RSI Smoothed,2015-08-02,90.80066411507202,-3.3392166469858457
SSR RSI Smoothed,2015-08-03,90.9383087925926,-3.3517661998651818
SSR RSI Smoothed,2015-08-04,91.07451308133894,-3.3641844273971477
SSR RSI Smoothed,2015-08-05,91.15489931548996,-3.371513525146664
SSR RSI Smoothed,2015-08-06,91.17340222864344,-3.373200501288598
SSR RSI Smoothed,2015-08-07,91.19301643417404,-3.374988797893497
SSR RSI Smoothed,2015-08-08,90.86312315038772,-3.344911258507381
SSR RSI Smoothed,2015-08-09,90.5676062500486,-3.3179679357843574
SSR RSI Smoothed,2015-08-10,90.26552675229252,-3.290426277805707
SSR RSI Smoothed,2015-08-11,90.0062627346721,-3.266788258832179
